Date,Ticker,Yfinance_Ticker,Trade,Shares
13-Dec-19,SHV,SHV.MX,Buy,381
13-Dec-19,SHV,SHV.MX,Buy,194
13-Dec-19,IB1MXX N,IB1MXXN.MX,Buy,490
13-Dec-19,IB1MXX N,IB1MXXN.MX,Buy,5
31-Dec-19,SHV,SHV.MX,Buy,50
31-Dec-19,SHV,SHV.MX,Buy,312
31-Dec-19,IB1MXX N,IB1MXXN.MX,Buy,1187
31-Dec-19,IB1MXX N,IB1MXXN.MX,Buy,94
14-Jan-20,IB1MXX N,IB1MXXN.MX,Buy,1
6-Feb-20,IB1MXX N,IB1MXXN.MX,Buy,3
6-Feb-20,SHV,SHV.MX,Buy,120
26-Feb-20,IB1MXX N,IB1MXXN.MX,Buy,3
12-Mar-20,SHV,SHV.MX,Buy,81
18-Mar-20,SHV,SHV.MX,Buy,187
18-Mar-20,SHV,SHV.MX,Sell,-187
19-Mar-20,SHV,SHV.MX,Buy,15
19-Mar-20,SHV,SHV.MX,Buy,318
2-Sep-20,SHV,SHV.MX,Buy,3
21-Sep-20,CETETRC,CETETRCISHRS.MX,Buy,141
21-Sep-20,CETETRC,CETETRCISHRS.MX,Buy,1760
21-Sep-20,IB1MXX N,IB1MXXN.MX,Buy,1
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,135
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,375
2-Dec-20,SHV,SHV.MX,Buy,45
2-Dec-20,SHV,SHV.MX,Buy,135
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,477
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,98
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,475
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,480
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,10
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,534
2-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,416
3-Dec-20,CETETRC,CETETRCISHRS.MX,Buy,400
3-Dec-20,SHV,SHV.MX,Buy,20
18-Jan-21,FIBRAPL 14,FIBRAPL14.MX,Buy,100
18-Jan-21,FIBRAPL 14,FIBRAPL14.MX,Buy,22
2-Feb-21,MCHI,MCHI.MX,Buy,1
2-Feb-21,IB1MXX N,IB1MXXN.MX,Sell,-8
3-Feb-21,IB1MXX N,IB1MXXN.MX,Sell,-306
3-Feb-21,IB1MXX N,IB1MXXN.MX,Sell,-258
3-Feb-21,VGK,VGK.MX,Buy,1
3-Feb-21,VPL,VPL.MX,Buy,29
3-Feb-21,FIBRAPL 14,FIBRAPL14.MX,Buy,100
3-Feb-21,GOLD N,GOLDN.MX,Buy,13
3-Feb-21,GOLD N,GOLDN.MX,Buy,8
