Date,Tot_Acct_Bank2_USD
31/01/19,2041.96
28/02/19,4073.52
29/03/19,6123.47
30/04/19,8250.34
31/05/19,9995.9
28/06/19,12380.4
31/07/19,14360.8
30/08/19,16378.59
30/09/19,18469.8
31/10/19,20774.93
29/11/19,23032.25
31/12/19,25316.53
31/01/20,27210.26
28/02/20,28053.7
31/03/20,27519.78
30/04/20,31350.02
29/05/20,34336.08
30/06/20,36888.75
31/07/20,40129.38
31/08/20,43336.36
30/09/20,44468.02
30/10/20,45680.45
30/11/20,51019.95
31/12/20,54251.48
29/01/21,55926.95
26/02/21,58392.43
31/03/21,61209.37
30/04/21,64864.13
31/05/21,67644.91
30/06/21,69975.73
30/07/21,72606.7
31/08/21,75556.68
30/09/21,75033.7
29/10/21,79358.37
30/11/21,80210.6
31/12/21,83385.59
31/01/22,82579.56
28/02/22,82629.76
31/03/22,84706.31
29/04/22,81278.97
31/05/22,83801.26
30/06/22,80605.67
29/07/22,86723.56
31/08/22,85265.45
30/09/22,80650.9
